movie|celeb|review
16 Blocks|Richard Donner|A hard-drinking, hard-living cop assigned the task of transporting a small-time criminal to the nearby courthouse finds that a simple, 16-block drive can be the longest ride of his life in director Richard Donner's urban action thriller. Hung-over, has-been cop Jack Mosley (Bruce Willis) has seen better days, and all that the force expects out of him these days is to stay out of trouble while he's on the clock. Eddie Bunker (Mos Def) is set to testify before a grand jury at 10:00 a.m., and it's up to Mosely to make sure that Bunker makes it to the courthouse in one piece -- a job that Mosely estimates will take a maximum of 15 minutes. A black van has been trailing the pair unnoticed, though, and after stopping off at a nearby liquor store to pick up some breakfast, Mosely emerges from the store just in time to save Eddie from the lethal bullet of a determined assassin. When backup arrives in the form of Detective Frank Nugent (David Morse), Mosely quickly realizes that the detective on Nugent's team is the same cop that Bunker is set to testify against. Now faced with the tough task of dodging bullets and eluding a massive onslaught of corrupt cops, Mosely must keep Bunker alive long enough to get him before the judge and ensure that justice is served. ~ Jason Buchanan, Rovi
Everything Is Illuminated|Liev Schreiber|Tale of a young man's quest to find the woman who saved his grandfather in a small Ukrainian town that was wiped off the map by the Nazi invasion. What starts out as a journey to piece together one family's story under the most absurd circumstances turns into a surprisingly meaningful journey with a powerful series of revelations -- the importance of remembrance, the perilous nature of secrets, the legacy of the Holocaust, the meaning of friendship and, most importantly, love.
Sea Inside|Alejandro Amenábar|Two of the most talented figures in contemporary Spanish cinema -- actor Javier Bardem and director Alejandro Amenábar -- collaborate for this powerful drama, based on a true story. Ramón Sampedro (Javier Bardem) was a fisherman and part-time poet who, at the age of 26, suffered an accident while diving that left him a bedridden quadriplegic. Now 54, Ramón must depend on his family to survive -- his macho brother José (Celso Bugallo), José's wife, Manuela (Mabel Rivera), and their son, Javi (Tamar Novas). While grateful to his family and friends for their help, Ramón was always an active person, and as the years wore on, he has come to see his life as frustrating and pointless and wishes to die with what remains of his dignity. José, however, is bitterly opposed to the notion of assisted suicide, and Spanish laws would implicate anyone who helped Ramón end his own life, which is something Ramón does not want to do. Through Gené (Carla Segura), a friend who works with a "Right to Die" organization, Ramón is introduced to Julia (Belen Rueda), a lawyer he hopes will help him persuade the courts to let him end his own life. Julia is dealing with her own mortality issues since being diagnosed with a degenerative disease, and Ramón hopes her condition will make her arguments more persuasive. As Ramón and Julia work together on his case and help to prepare a book of his poems for publication, Ramón finds himself falling in love with his attorney, who happens to be married, but while his infatuation gives Julia second thoughts about the case, Ramón remains convinced that the greatest gift to him would be an end to his life. Javier Bardem's performance in The Sea Inside (aka Mar Adentro) earned him the Best Actor award at the 2004 Venice Film Festival.
Hero|Yimou Zhang|Hero is two-time Academy Award nominee Zhang Yimou's directorial attempt at exploring the concept of a Chinese hero. During the peak of their Warring States period, China was divided into seven kingdoms all fighting for supremacy. Most determined to dominate China was the kingdom of Qin, whose king (Chen Daoming) was wholly obsessed with becoming the first emperor of China. Though he was an assassination target for many, none of his would-be killers inspired as much fear as the legendary assassins Broken Sword (Tony Leung), Flying Snow (Maggie Cheung), and Sky (Donnie Yen). In hopes of thwarting his death, the king has promised endless wealth and power to anyone who defeats his would-be murderers. No results come until ten years later, when a man called Nameless (Jet Li) brings the weapons of the three assassins to the Qin king's palace. Nameless claims to be an expert swordsman who had defeated Sky and destroyed the famed duo of Flying Snow and Broken Sword by using their love for one another against them. Once Nameless comes face to face with the king, however, it looks as if the situation is more complicated than he had thought. Also featured in Hero is actress Zhang Ziyi (The Road Home, Crouching Tiger, Hiden Dragon) as Broken Sword's devoted servant, Moon.
Boesman And Lena|John Berry|Angela Bassett and Danny Glover star in this gripping film adaptation of Athol Fugard's renowned play. Though written during the apex of apartheid and first staged in 1970, director John Berry downplays the work's historical background and strips the play of its poetic symbolism, lending the film a raw, universal quality. The film opens with stock footage of shantytowns being flattened by bulldozers followed by the two titular characters carrying what they can on their backs and heads. Recalling the tortured human bonds seen in such productions as Who's Afraid of Virgina Woolf? and Waiting for Godot, Boesman (Glover) and Lena (Bassett) are a couple united by pain and grief. Stopping at some god-forsaken roadside wasteland for the night, Lena spends much of the first half of the film heaping verbal abuse on her husband, while Boesman doggedly tries to jerry-rig some shelter to protect against the cold of the night. This dynamic changes went an elderly African tribesman shows up. Boesman scorns the old man, while Lena invites him to sit at their campfire. This film, which was screened at the 2000 Cannes Film Festival, was the last film that noted director John Berry made before his death on November 29, 1999.
Unfinished Song|Paul Andrew Williams|UNFINISHED SONG is the funny and uplifting story of Arthur (Terence Stamp), a curmudgeon old soul perfectly content with sticking to his dull daily routine until his beloved wife (Vanessa Redgrave) introduces him to a spirited local singing group led by the youthful and charming Elizabeth (Gemma Arterton). This unexpected friendship and his discovery of music revitalizes Arthur's passion for new adventures and shows us all life should be celebrated at any age. (c) Weinstein
Shaft In Africa|John Guillermin|This is the third entry in the Shaft series. This time the tough New York gumshoe heads for the Dark Continent to expose a ring of modern-day slavers.
The World Of Drunken Master|Joseph Kuo|In this vintage martial arts action picture, vintner Chang Chi catches Fan Ta-pei and Su Hua-tzu red-handed as they steal grapes from his supplies. To make good for what they've stolen, Chang Chi puts them to work in his winery, and soon discovers they both have a natural talents for the martial arts. Chang begins coaching them in the finer points of Kung Fu, and one day when Fan Ta-pei and Su Hua-tzu see a thug named Yeh Hu harassing the townspeople, they stand up to the bully, only to discover he outpaces them as a fighter. Chang Chi arrives in time to save the day, but this rekindles an old rivalry between him and Yeh Hu, and now Fan Ta-pei and Su Hua-tzu must get serious about their martial arts studies to protect Chang Chi and the villagers from Yeh Hu and his minions. The World Of Drunken Master stars Jack Lung, Fei Lung, and Yuen Siu Tin. ~ Mark Deming, Rovi
In Prison My Whole Life|Marc Evans|Since his incarceration in 1982 for allegedly shooting a Philadelphia policeman to death, Black Panther Mumia Abu-Jamal has awaited execution on Death Row, vociferously protesting his innocence; he now qualifies as one of the most famous Death Row inmates in the world. Currently an author of five tomes and an on-air personality who broadcasts over the phone from prison, Abu-Jamal carries the support of no less than Nelson Mandela and the administrators of Amnesty International, who believe in and fervently argue his innocence. Filmmaker Marc Evans's documentary In Prison My Whole Life witnesses William Francome, a British man who was born on the same day as the shooting, traveling to the prison where Abu-Jamal is held to investigate the details of the man's case. The film witnesses Francome learning about the initial events of that terrible night that led to Abu-Jamal's arrest and conviction, the allegations that the trial itself was unfair, and the city where it all happened - and investigating the moral and ethical dilemmas that have turned Abu-Jamal into a touchstone for the global crusade against capital punishment. Participants include belletrist Alice Walker, social activist Noam Chomsky and rapper Snoop Dogg.
The Owl And The Pussycat 1970|Herbert Ross|The Owl and the Pussycat began life as a two-character Broadway play by Bill Manhoff, about a stuffy author who entered into an explosive relationship with his neighbor, a foulmouthed, freewheeling prostitute. Manhoff wrote the part of the hooker for a black actress, but all that changed when Barbra Streisand was cast in the role for the film version. George Segal portrays the male lead, and the play's two-character austerity was expanded to a cast of 19 speaking parts. Beyond the added characters (including Robert Klein as Segal's swinging roommate), the heart and soul of the film is the Segal-Streisand relationship; he is utterly appalled by her lifestyle, she is turned off by his prudishness, and both are made for each other. The Owl and the Pussycat was adapted for the screen by Buck Henry, who shows up in a cameo role in one of the bookstore scenes. The film represented the last work of cinematographer Harry Stradling, who'd previously photographed Streisand in Funny Girl; Stradling died during production, and was replaced by Ernest Laszlo.
The Preppie Murder|John Herzfeld|Based on a true story, The Preppie Murder begins on August 26, 1986. This was the day that 18-year-old Jennifer Levin (Lara-Flynn Boyle) was strangled to death in Central Park. The prime suspect, Jennifer's 19-year-old boyfriend Robert Chambers (William Baldwin), confesses to the crime. The well-to-do young man insists that the killing was accidental; he claims that it occurred during a "rough sex" session that Jennifer had inaugurated. The ensuing media frenzy forces the old "she asked for it" defense to rear its ugly head. The Preppie Murder's attempts at fairness caused a great deal of critical turmoil when the film first aired on September 24, 1989.
September 11|Samira Makhmalbaf|In the aftermath of the tragedies on September 11, 2001, the French film company Studio Canal called upon a group of filmmakers, representing various regions of the world, to address the scope of the situation in however broad or intimate a context as they saw fit. The one guideline they were given was that no one film could exceed 11 minutes, nine seconds, and one frame. The resulting omnibus film, 11'09"01, showed at festivals around the world the following year and garnered a theatrical release in 2003. Each filmmaker's entry takes a different approach: French director Claude Lelouch tells the tale of a World Trade Center tour guide who is on the verge of a breakup with his deaf girlfriend when the terrorist attacks hit; similarly, Hollywood actor-director Sean Penn chronicles the lonely existence of an old man living not far from the Twin Towers. Egyptian director Youssef Chahine and British social realist filmmaker Ken Loach created the most controversy with their entries, which, respectively, address the points-of-view of a suicide bomber and of a Chilean who recalls the brutal coup funded by the United States in his country on September 11, 1973. Alejandro González Iñárritu's piece is the most abstract, taking images from television on the day of the attacks and cutting them with selected bursts of sound. Samira Makhmalbaf, Danis Tanovic, and Idrissa Ouedraogo all tell small-scale stories of the effects of the attacks on tiny villages in Iran, Serbia, and Burkina Faso, respectively.
Letters To Santa A Muppets Christmas|Kirk R. Thatcher|The Muppets meet mayhem once again after accidentally intercepting three letters en route to the North Pole. Before long, the Muppet gang has put aside their own holiday vacation plans and set off to find Santa Claus in hopes of putting the letters in the hands they were intended for before it's too late. Among the guest stars are Whoopi Goldberg, Richard Griffiths, Jane Krakowski, Uma Thurman, Nathan Lane, and New York City Mayor Michael Bloomberg.
To Grandmothers House We Go|Jeff Franklin|When two young twins decide to go to Grandmother's house, they take off on an adventure they're not likely to forget.
Letters From A Killer|David Carson|A man struggles to resolve a potentially deadly case of mistaken identity in this thriller. Though he stubbornly insists he is innocent, Race Darnell (Patrick Swayze) is sentenced to a term in prison for the murder of his wife. While behind bars, he begins corresponding through tape-recorded "letters" with several women at once; he mistakenly sends the wrong letter to the wrong woman one day and gets a recording back in which he angrily claims she is going to kill him. Race soon has other things to think about; he's finally cleared of his wife's murder and is released from jail, only to be accused of two other killings. Race is determined to prove he's not the man to blame, and this time he has the help of the guard who used to watch over him.
Herman Usa 2001|Bill Semans|In the tiny town of Herman, Minnesota, the ratio of single women to single men is staggering. The farming community is just about overflowing with unmarried, middle aged men who finally decide that they're sick of the bachelor lifestyle, so they organize a town festival as a means to attract potential mates. Little do the fellas know, however, that their plan will be almost too effective, bringing in droves of ladies from all over the country. Crazy, hilarious, and surprisingly touching, the romantic comedy that unfolds for this group of small-town bachelors leaves all their lives changed forever.
Bound By Lies|Valerie Landsburg|In this crime thriller with a kinky undertow, police detective Max Garret (Stephen Baldwin) is a cop with a habit of doing things his own way -- so much so that he's just coming off of a six-month suspension for disregarding orders. Garret's first case after returning to active duty is looking into the death of a drug addict who jumped off the roof of a building. However, as Garret and his partner, Eddie Fulton (Charles Malik Whitfield), dig deeper into the matter, they discover links to a series of murders. The victim jumped from the roof of a loft owned by Laura Cross (Kristy Swanson), a photographer who specializes in disturbing erotic images; as Garret questions Cross, he finds himself increasingly attracted to her and he soon falls into an affair with her, but Fulton suspects her involvement in the death is hardly casual -- and unlike Garret, he has a close familiarity with her notorious past. Bound by Lies was produced and briefly distributed under the title Betrayed.
Loudmouth Soup|Adam Watstein|A couple finds that breaking into the Hollywood elite is harder than they ever imagined in this improvised, independent comedy of manners. Loudmouth Soup takes place over the course of a long dinner party thrown by Jason (Joe Mellis) and Catherine (Melanie Chapman), a married couple from New York whose recent feature-film effort landed them some buzz at Sundance. Now relocated to L.A., the pair throw a dinner part for some potential investors, including producer Charlie (Kevin Chamberlin), ambitious actress Blake (Nancy Bell), and surprisingly, Blake's superstar boyfriend, Sam (Michael James Reed). Blind-sided by the A-list guest, each diner tries to cozy up to the money man to try to attain some cash and credibility for his or her next project. The action in Loudmouth Soup was captured in near real time by a handful of video cameras; director Adam Watstein would provide plot suggestions to the performers when they walked off-camera.
Die Hard With A Vengeance|John McTiernan|Bruce Willis returns as misfit cop John McClane in the third film in the Die Hard series. McClane has fallen on hard times; after moving to New York City and breaking up with his wife, he's developed a drinking problem and has been suspended from the NYPD. However, his past comes back to haunt him in the form of Simon (Jeremy Irons), a terrorist bomber who has been using McClane as his contact as he plants a series of bombs in public places and gives McClane inane "clues" to their whereabouts in the form of riddles and bizarre games. McClane soon discovers he's been involved in Simon's scheme as part of a personal grudge; while associated with an international terrorist group, Simon is also the brother of the man McClane threw off the side of a skyscraper several years back (in the original Die Hard). Now McClane, with the help of a Harlem shopkeeper named Zeus (Samuel L. Jackson), has to find out where Simon has planted the bombs, guess where he'll strike next, and try to find his base of operations before more bombs go off and thousands of people die. The supporting cast features Graham Greene and Colleen Camp; singer Sam Phillips made her acting debut as a member of Simon's terrorist group (Phillips never speaks, so as to not to reveal her Texas accent). ~ Mark Deming, Rovi
Station Agent|Tom McCarthy|When his only friend dies, Finbar McBride moves to an abandoned train station in rural New Jersey, to live the life of a hermit. His attempt at solitude is soon interrupted, however, by interactions with his neighbors, including Olivia, a struggling artist coping with the recent death of her young son, and Joe, a thirty-year-old with a talent for cooking and an insatiable hunger for conversation--whether anyone wants to talk to him or not.
The Eddie Black Story|Shawn Baker|A street smart college freshman becomes trapped in a world of crime after falling back in with a troubled childhood friend who's second in command of a violent street gang. Eddie Black (Daniel Phillip) is an honor role student who dreams of becoming a lawyer. But Eddie has a pain in his heart, and that pain draws him to Psycho (Fredro Starr), a high-ranking member of the Decepticons. Subsequently ensnared in a dangerous web of lies, murder, and betrayal, Eddie discovers that his only hope of escaping the past may be to accept the love of his concerned childhood sweetheart.
Church Ball|Kurt Hale|High spiritual ideals don't quite mesh with the spirit of competition in this sports comedy. In the 1920s, the leaders of the Church of Latter Day Saints began encouraging their congregations to form basketball teams and church leagues as a way to promote fitness, wholesome fun, and teamwork among Mormon youth. However, the downside of this plan was the rise of wildly competitive teams who were a lot more interested in winning at all costs than good sportsmanship. In the 1970s, Bishop Linderman (Fred Willard) has been watching his Mud Lake basketball team get trounced in the Church League championships for nearly two decades, which doesn't sit well with him. Linderman used to be Mud Lake's coach before we was banned from the game for fighting, and with the team facing another losing season, he appoints a new man, Dennis Buckstead (Andrew Wilson), to lead Mud Lake on the court. When LDS elders announce that they're putting an end to church ball and the upcoming season will be the last, the pressure is on Buckstead to bring home a championship for Mud Lake's final season. But with a team comprised of myopic clerk Gene (Clint Howard), rotund Don (Chad Long), timid Thurman (Steve Anderson), half-pint car salesman Charles (Gary Coleman), short-tempered Mickey (Ross Brockley), and Borat (Sina Amedson), an immigrant who knows soccer far better than basketball, Buckstead's prospects are not very good. Not wanting to disappoint Linderman, Buckstead tries to recruit a pair of ringers for the Mud Lake team -- Moses Mahoney (Thurl Bailey), a seven-foot-tall prodigy who teaches sports to underprivileged kids, and Jeremiah Jones (Stan Ellsworth), a fierce player who may be just a bit too competitive. Church Ball was directed by Kurt Hale and released through Halestorm Entertainment, a leading producer of LDS-oriented films.
Life Support|Nelson George|Produced by Jamie Foxx for HBO, this drama stars Queen Latifah as Ana a woman struggling to maintain a happy life despite being HIV-positive. Though her home-life seems happy with a loving husband and young daughter, Ana remains haunted by a past that produced Kelly (Rachel Nicks), a resentful estranged older daughter who now lives with Ana's mother. Juxtaposed with Ana's healthy approach to life with HIV is Amare (Evan Ross), a friend of Kelly's who uses narcotics to deal with the disease. Life Support screened at the 2007 Sundance Film Festival.
Dark Matter|Chen Shi-Zheng|Inspired by actual events, director Chen Shi-Zheng's socially conscious psychological drama follows the journey of an ambitious Chinese scientist working towards his Ph.D. in America, only to be marginalized to the extent that he ultimately loses his way. All Liu Xing (Liu Ye) ever wanted was to study the origins of the universe at a Western university. Upon arriving at the school, Liu immediately rents a modest apartment with a few other Chinese students and begins flirting with the pretty American who works at the local coffee shop. Personally welcomed into Department Head Jacob Reiser's (Aidan Quinn) select cosmology group, Liu remains dedicated to his studies and optimistic about the future. Things continue to look up as Liu becomes close with wealthy university patron Johanna Silver (Meryl Streep) after the two become acquainted at an orientation for foreigners sponsored by a local church. Eventually, Liu becomes Reiser's protégé, and makes a sizable impression at a prestigious conference attended by the pair. But attitudes start to shift when Liu's studies in dark matter come into direct conflict with his mentor's prominent theories and well-established studies. His excitement about a potential breakthrough causes him to ignore repeated warnings that he must pay his dues, and Liu's findings are eventually eclipsed by that of more studious fellow student Laurence. Determined to have his studies published, Liu goes behind Reiser's back, but he ultimately becomes the target of ire rather than accolades, with Johanna's naïve encouragement prompting him along a dangerous collision course. While Liu remains enamored with the concept of the American dream and optimistic about American science being a free market of ideas, he begins to grow dejected after his dissertation is rejected, the girl at the coffee shop blows him off, and his roommates all find lucrative jobs. Essentially left behind at the university, Liu rejects Johanna's offer for help and vows not to return home to disappointed parents. Now, as he coasts on the fumes of his unrealized dreams, the dishonored student prepares to lash out with one final act of devastating annihilation. ~ Jason Buchanan, Rovi
Four Nights With Anna|Jerzy Skolimowski|A small town hospital worker who witnessed a brutal rape becomes obsessed with the victim after she lands a job as a nurse at the same hospital where he works, but how far will he go before he finally loses control? Leon Okrasa was there when a young woman named Anna was viciously violated. He works at a hospital in Poland, and when Anna is hired in as a nurse Leon soon finds his fixation taking over every aspect of his life. One night, after climbing into Anna's apartment though an open window, Leon sits on the edge of her bed, watching silently as she sleeps. What happens next only Leon can say.
Cookout|Lance Rivera|When Todd Anderson (Storm P) signs a 30-million-dollar contract with the New Jersey Nets after being named the number one NBA draft pick of the year, his mother (Jenifer Lewis) vows to prevent her son from forgetting his roots. Not used to balancing his new life with his old, Todd mistakenly invites family and friends from his old neighborhood to his multi-million-dollar house for a cookout on the same day of an important endorsement interview. Though his extravagant family cookouts were welcome at his old digs, Todd's stuffy new neighbors -- particularly the conservative Republican Judge Halsted Crowley (Danny Glover) -- are less than thrilled with the arrival of Todd's massive family. Complicating the situation further is the eccentric neighborhood security guard (Queen Latifah), who takes on the heady assignment of ensuring that none of the private community's rules are broken, as well as two thugs who, determined to get an autographed pair of sneakers, hold up the cookout at gunpoint. Directed by Lance Rivera, The Cookout also features performances from Ja Rule, Eve, Farrah Fawcett, and Jonathan Silverman.
Chasing Freedom|Don McBrearty|The drama Chasing Freedom stars Juliette Lewis as a crusading lawyer who attempts to earn a foreign women citizenship in the United States in order to save her from a dangerous situation in her native country.
Second Best 2004|Eric Weber|Writer Eric Weber (author of the infamous paperback How to Pick Up Girls) directs his screenplay Second Best. Set in New Jersey, the story concerns a group of fiftysomething men dealing with their feelings of inadequacy. Struggling writer Elliot (Joe Pantoliano) is the most desperate of the bunch, having failed in the publishing business and trying to finish writing a screenplay. The group prepares for a visit from their old childhood friend who is now a big-time Hollywood producer. Elliot hopes this visit will lead to bigger things in his own life. Also starring Boyd Gaines, Jennifer Tilly, and Bronson Pinchot, Second Best was shown at the Sundance Film Festival in 2004 as part of the American Spectrum competition.
Wrong Swipe|Matthew Leutwyler|A girl tries a dating app that matches users via GPS technology, but becomes fearful after she begins receiving disturbing messages and notifications that someone is close in proximity.
Killer Date|Matthew Leutwyler|A woman agrees to go on a date arranged online, but when she receives disturbing text messages she becomes fearful of every man she meets.
Out In Fifty|Bojesse Christopher|A recently released ex-con who served a prison term for murder sets about to live a crime-free life, only to be harassed and investigated by a deranged detective.
Emoticon |Livia De Paolis|Elena Gallenti (Livia De Paolis) is an anthropology graduate student struggling to compete her thesis on 'modern means of communication.' All that changes when she meets her new boyfriend's (Michael Cristofer) teenage kids (Miles Chandler and Diane Guerrero), who are going through their own journeys of self-discovery. Through these relationships and the help of her PhD advisor (Carol Kane), Elena comes to a better understanding of how to navigate love and intimacy in the digital age. Ultimately they develop a bond that strikes a balance between the old world and the new, and everyone's longing to find true emotional sense in both. (C) Indican
Crna Macka Beli Macor|Emir Kusturica|Bosnian-born filmmaker Emir Kusturica made this farce, set in a Gypsy settlement along the banks of the Danube, where three generations of characters burst forth in manic and frenetic displays of charm, confusion, and chaos. Garbage dump godfather Grga Pitic (Sabri Sulejman) and cement czar Zarije Destanov (Zabit Memedov), both in their 80s, remain friends even though they haven't seen each other in 25 years. Zarije's son Matko Destanov (Bajram Severdzan) goes to Grga for a loan. Matko is double-crossed by his partner, gypsy gangster Dadan Karambolo (Srdan Todorovic), who demands that Matko's son, Zare Destanov (Florijan Ajdini), marry Dadan's small sister, Afrodita (Salija Ibraimova). Unfortunately, Afrodita and Zare have absolutely no interest in each other. Cute barmaid Ida (Branka Katic) and Zare fall in love and only have eyes for each other as plans get underway for the wedding of Zare and Afrodite. The sudden death of Zarije seems to offer a solution, since no gypsy would have a wedding and a funeral on the same day. However, Dadan delays the death announcement by hiding Zarije, packed in ice, in the attic. The wedding celebration gets underway amid numerous madcap mishaps and misadventures. With a soundtrack of gypsy music and songs, the funny film features numerous non-professionals in the cast. Shown in competition at the 1998 Venice Film Festival and at the 1998 New York Film Festival. ~ Bhob Stewart, Rovi
Mafia|Jim Abrahams|Satirist Jim Arahams returned with this comedy spoofing the Godfather trilogy, and other films and TV, including Jurassic Park, Lord of the Dance, and Barney. The opening emulates a Saul Bass sequence with Anthony Cortino (Jay Mohr) in a flight amid flames much like Robert De Niro in the Casino credits. After flashbacks go back in time to Sicily, Coppola/Scorsese references abound. Young Vincenzo (Jason Fuchs) travels to America to later become the clumsy chief of organized crime (with the late Lloyd Bridges as the aging Vincenzo) with his sons -- short-fused Joey (Billy Burke) and educated Anthony. Tony's WASP fiancee is Diane (Christina Applegate), recalling Diane Keaton in the Coppola films. During the wedding, assassins try to do away with Don Vincenzo, who's hospitalized, so Tony sets out to gain revenge for the murder attempt. In Vegas, Tony gets involved with showgirl Pepper (Pamela Gidley). When betrayals begin, can violence be far behind? This was Lloyd Bridges' final movie, and the film is dedicated to him.
Matchups 2003|Donahue Tuitt|Ian "Wonder Boy" Williams is legally blind in one eye, but that hasn't stopped him from becoming one of the most talented college basketball players in recent history. Tragedy strikes, however, when an accident causes him to lose sight in his other eye, rendering him completely blind. Shattered and searching for something to give his life meaning, Ian's spirit is lifted when the coaching staff of his former team is fired and the administration asks him to take the job. The team is below average and will require serious coaching to excel, but a coach with the setbacks that Ian carries might just be exactly what they need.
Altered|Eduardo Sánchez|The Blair Witch Project co-creator Eduardo Sanchez returns to direct his first feature film since that 1999 forest-bound frightener that took the world of horror by storm with this shocker concerning a group of former alien abductees who seek vengeance against the malevolent extraterrestrials who kidnapped them fifteen years prior. It's been more than a decade since five hunters were swept out of the forest and into the night skies by a powerful otherworldly force, but only four of the lifelong friends ever found their way back to terra firma. In the wake of that inexplicable tragedy the remaining friends found their bond growing stronger than ever before. None of the men have ever forgotten about their long lost friend, or the trauma that they endured on that fateful night. Years later, upon capturing one of the very same creatures that caused all of their suffering, the four friends retreat into a remote forest compound to execute their long awaited revenge. To set the creature free would be to sign their own death warrants, and to kill it would almost certainly spell their doom as well. As the long night wears on and an impenetrable blackness once again washes over the darkened woods, the hunters realize that they only have a few hours left to decide the fate of the strange and menacing creature.
10006321|Scott Edmund Lane|A well-known level-one angel looking to reunite with his level-six soulmate strikes a special bargain with God in this heavenly comedy featuring some of the best-loved stars of the golden-era of cinema. George Burns (Frank Gorshin) is miserable in heaven. In addition to not being able to smoke his trademark cigars, level-one angel George is also forbidden from cavorting with his level-six love Gracie Allen (Amy Wieczorek). Upon bearing witness to the misery of his forlorn heavenly guest, God makes a proposal to George; save failing musician Steven "Shoomie" Schoomer (Scott Edmund Lane) from completely destroying his life and earn the status that will let him spend eternity with his beloved Gracie. When George arrives back on Earth, he finds Schoomie a commitment-phobic wedding musician with few prospects and little hope for the future. After encouraging Schoomie to make amends with former best friend Howie Gold (David Proval) and embark on a madcap mission to sell a stash of smuggled Cuban cigars, George's plan goes awry as everyone from stealthy assassin Shelleen (Gorshin playing in a dual role) to Fidel Castro himself show a curious interest in the mysterious cigars.
All The Money In The World 2017|Ridley Scott|ALL THE MONEY IN THE WORLD follows the kidnapping of 16-year-old John Paul Getty III (Charlie Plummer) and the desperate attempt by his devoted mother Gail (Michelle Williams) to convince his billionaire grandfather (Christopher Plummer) to pay the ransom. When Getty Sr. refuses, Gail attempts to sway him as her son's captors become increasingly volatile and brutal. With her son's life in the balance, Gail and Getty's advisor (Mark Wahlberg) become unlikely allies in the race against time that ultimately reveals the true and lasting value of love over money.
The People V Leo Frank|Ben Loeterman|Writer/director Ben Loeterman draws on historical record to pen this semi-documentary about a Jewish engineer who became the tragic victim of mob justice after being accused of murdering an Atlanta child worker in 1913. When the body of thirteen year old Mary Phagan was discovered in the cellar of the National Pencil Company, suspicions quickly fell upon the manager of the factory, Leo Frank. After a speedy trial filled with inconsistencies and fueled by racial discrimination, Frank was given the death sentence. But this was far from the end of the story; concluding that the conviction was unjust after Frank's lawyers fought it straight to the Supreme Court, Georgia Governor John Slaton inadvertently sealed the fate of the accused by commuting his sentence to life in prison. Enraged, a group of 25 vigilantes who dubbed themselves "The Knights of Mary Phagan" kidnapped Frank from his cell at the state penitentiary, and hung him from a tree near his alleged victim's childhood home. Neither the guards at the prison nor the warden offered any resistance to the murderous mob. It was the first and only known lynching of a Jewish man on American soil.
B Side 2013|Amos Posner|Mike Zumsteg is a DJ for an underground internet radio station he helped found. April Simon is a fading popstar on what she expects to be the final tour of her career. When April writes in to Mike's show after he randomly makes a joke at her expense, the two end up meeting and forming an unlikely relationship. As she swings in and out of town, April is drawn into the lives of Mike and his roommates as they give her the sense of home she lost during her career. But when Mike learns his station is folding, and April's career takes a surprising turn toward a comeback, the mounting pressures of life threaten their idyllic New York romance.
Shes The Best Thing In It|Ron Nyswaner|Veteran character actor and Tony Award winner, Mary Louise Wilson, age 79, teaches her first acting class to skeptical members of the YouTube generation, smashing their red carpet illusions and challenging them to bring emotional honesty into their acting. Features interviews with Frances McDormand, Melissa Leo, Tyne Daly, Estelle Parsons, Valerie Harper and playwright Doug Wright, discussing what it means to be a character actor, whether acting can be taught, what constitutes 'talent,' and whether the profession is harder for women.
Andre Gregory Before And After Dinner|Cindy Kleine|ANDRE GREGORY: BEFORE AND AFTER DINNER is a wonderful exploration of the life and work of groundbreaking director, actor and artist Andre Gregory. A witty and often hilariously funny raconteur, Gregory looks back on a career that spanned decades, shattered boundaries and established him as a cultural icon. He recalls the making of MY DINNER WITH ANDRE, the Louis Malle-directed classic in which he starred and co-wrote, reflects on his pivotal role in American theatre, dishes on his brief sojourn in Hollywood, and talks about the discovery that led him to question his own identity and life's work. Bringing us back and forth in time, Gregory looks not only at his life, but at the nature of art, love and the creative process. Directed by award-winning filmmaker Cindy Kleine (who is also his wife), ANDRE GREGORY: BEFORE AND AFTER DINNER is a brilliant portrait of a modern renaissance man. (c) Cinema Guild
A Master Builder|Jonathan Demme|The artistic triumvirate of Jonathan Demme, André Gregory, and Wallace Shawn update Henrik Ibsen's The Master Builder, a modern classic about a successful, egomaniacal architect who has spent a lifetime bullying his wife, employees and mistresses - who nonetheless wants to make peace with himself as his life approaches its final act. Working from his own translation of the Norwegian text, Wallace Shawn gives a tour-de-force performance as the cruel, yet guilt-ridden architect. Jonathan Demme's direction is based on the near-legendary production created for the stage by André Gregory, developed over a 14-year period. Lisa Joyce plays a sensual, mysterious young visitor who turns the household upside down, much to the consternation of Julie Hagerty, perfectly cast as Shawn's neurasthenic, long-suffering wife. Scandinavian angst -- reinterpreted by New York's finest. (C) Abramorama
Phoenix 2015|Christian Petzold|A spellbinding mystery of identity, illusion, and deception unfolds against the turmoil of post-World War II Germany in the stunning new film from acclaimed director Christian Petzold (Barbara, Jerichow). Nelly (Nina Hoss), a German-Jewish nightclub singer, has survived a concentration camp, but with her face disfigured by a bullet wound. After undergoing reconstructive surgery, Nelly emerges with a new face, one similar but different enough that her former husband, Johnny (Ronald Zehrfeld), doesn't recognize her. Rather than reveal herself, Nelly walks into a dangerous game of duplicity and disguise as she tries to figure out if the man she loves may have been the one who betrayed her to the Nazis. Evoking the shadows and haunted mood of post-war Berlin, Phoenix weaves a complex tale of a nation's tragedy and a woman's search for answers as it builds towards an unforgettable, heart-stopping climax. (C) IFC Films
